Date,Open,High,Low,Close,Volume
2021-12-31,4775.21,4786.8301,4765.75,4766.1802,2446190000
2022-01-03,4778.1401,4796.6401,4758.1699,4796.5601,2775190000
2022-01-04,4804.5098,4818.6201,4774.27,4793.54,3641050000
2022-01-05,4787.9902,4797.7002,4699.4399,4700.5801,3733540000
2022-01-06,4693.3901,4725.0098,4671.2598,4696.0498,3371250000
2022-01-07,4697.6602,4707.9502,4662.7402,4677.0298,3279870000
2022-01-10,4655.3398,4673.02,4582.2402,4670.29,3621800000
2022-01-11,4669.1401,4714.1299,4638.27,4713.0698,3421600000
2022-01-12,4728.5898,4748.8301,4706.71,4726.3501,3060040000
2022-01-13,4733.5601,4744.1299,4650.29,4659.0298,3539830000
2022-01-14,4637.9902,4665.1299,4614.75,4662.8501,3483530000
2022-01-18,4632.2402,4632.2402,4568.7002,4577.1099,3324960000
2022-01-19,4588.0298,4611.5498,4530.2002,4532.7598,3387370000
2022-01-20,4547.3501,4602.1099,4477.9502,4482.73,3473060000
2022-01-21,4471.3799,4494.52,4395.3398,4397.9399,3945810000
2022-01-24,4356.3198,4417.3501,4222.6201,4410.1299,5172540000
2022-01-25,4366.6401,4411.0098,4287.1099,4356.4502,3989420000
2022-01-26,4408.4302,4453.23,4304.7998,4349.9302,4046270000
2022-01-27,4380.5801,4428.7402,4309.5,4326.5098,4074330000
2022-01-28,4336.1899,4432.7202,4292.46,4431.8501,3936030000
2022-01-31,4431.79,4516.8901,4414.02,4515.5498,4001950000
2022-02-01,4519.5698,4550.4902,4483.5298,4546.54,3796450000
2022-02-02,4566.3901,4595.3101,4544.3198,4589.3799,3777170000
2022-02-03,4535.4102,4542.8799,4470.3901,4477.4399,3596830000
2022-02-04,4482.79,4539.6602,4451.5,4500.5298,3673700000
2022-02-07,4505.75,4521.8599,4471.4702,4483.8701,3291600000
2022-02-08,4480.02,4531.3198,4465.3999,4521.54,3509330000
2022-02-09,4547.0,4590.0298,4547.0,4587.1802,3662810000
2022-02-10,4553.2402,4588.9199,4484.3101,4504.0801,4490500000
2022-02-11,4506.27,4526.3301,4401.4102,4418.6401,4164960000
2022-02-14,4412.6099,4426.2202,4364.8398,4401.6699,3466170000
2022-02-15,4429.2798,4472.77,4429.2798,4471.0698,3363200000
2022-02-16,4455.75,4489.5498,4429.6802,4475.0098,3478750000
2022-02-17,4456.0601,4456.0601,4373.8101,4380.2598,3596510000
2022-02-18,4384.5698,4394.6001,4327.2202,4348.8701,3871340000
2022-02-22,4332.7402,4362.1201,4267.1099,4304.7598,4007780000
2022-02-23,4324.9302,4341.5098,4221.5098,4225.5,3814340000
2022-02-24,4155.77,4294.73,4114.6499,4288.7002,5070560000
2022-02-25,4298.3799,4385.3398,4286.8301,4384.6499,3941780000
2022-02-28,4354.1699,4388.8398,4315.1201,4373.9399,4594010000
2022-03-01,4363.1401,4378.4502,4279.54,4306.2598,4679400000
2022-03-02,4322.5601,4401.48,4322.5601,4386.54,4409090000
2022-03-03,4401.3101,4416.7798,4345.5601,4363.4902,4062080000
2022-03-04,4342.1201,4342.1201,4284.98,4328.8701,4558250000
2022-03-07,4327.0098,4327.0098,4199.8501,4201.0898,5506330000
2022-03-08,4202.6602,4276.9399,4157.8701,4170.7002,6237000000
2022-03-09,4223.1001,4299.3999,4223.1001,4277.8799,4220180000
2022-03-10,4252.5498,4268.2798,4209.7998,4259.52,4008690000
2022-03-11,4279.5,4291.0098,4200.4902,4204.3101,3877430000
2022-03-14,4202.75,4247.5698,4161.7202,4173.1099,4757600000
2022-03-15,4188.8198,4271.0498,4187.8999,4262.4502,4331170000
2022-03-16,4288.1401,4358.8999,4251.9902,4357.8599,5002240000
2022-03-17,4345.1099,4412.6699,4335.6499,4411.6699,4174170000
2022-03-18,4407.3398,4465.3999,4390.5698,4463.1201,6681510000
2022-03-21,4462.3999,4481.75,4424.2998,4461.1802,3961050000
2022-03-22,4469.1001,4522.0,4469.1001,4511.6099,3962880000
2022-03-23,4493.1001,4501.0698,4455.8101,4456.2402,4014360000
2022-03-24,4469.98,4520.5801,4465.1699,4520.1602,3573430000
2022-03-25,4522.9102,4546.0298,4501.0698,4543.0601,3577520000
2022-03-28,4541.0898,4575.6499,4517.6899,4575.52,3696850000
2022-03-29,4602.8599,4637.2998,4589.6602,4631.6001,4239660000
2022-03-30,4624.2002,4627.77,4581.3198,4602.4502,3665390000
2022-03-31,4599.02,4603.0698,4530.4102,4530.4102,3782040000
2022-04-01,4540.3198,4548.7002,4507.5698,4545.8599,3828290000
2022-04-04,4547.9702,4583.5,4539.21,4582.6401,3833500000
2022-04-05,4572.4502,4593.4502,4514.1699,4525.1201,3906230000
2022-04-06,4494.1699,4503.9399,4450.04,4481.1499,4137080000
2022-04-07,4474.6499,4521.1602,4450.2998,4500.21,4054010000
2022-04-08,4494.1499,4520.4102,4474.6001,4488.2798,3453040000
2022-04-11,4462.6401,4464.3501,4408.3799,4412.5298,3452540000
2022-04-12,4437.5898,4471.0,4381.3398,4397.4502,3451990000
2022-04-13,4394.2998,4453.9199,4392.7002,4446.5898,3273140000
2022-04-14,4449.1201,4460.46,4390.77,4392.5898,3634740000
2022-04-18,4385.6299,4410.3101,4370.2998,4391.6899,3509340000
2022-04-19,4390.6299,4471.0298,4390.6299,4462.21,3197930000
2022-04-20,4472.2598,4488.29,4448.7598,4459.4502,3678040000
2022-04-21,4489.1699,4512.9399,4384.4702,4393.6602,3833570000
2022-04-22,4385.8301,4385.8301,4267.6201,4271.7798,3930660000
2022-04-25,4255.3398,4299.02,4200.8198,4296.1201,4061070000
2022-04-26,4278.1401,4278.1401,4175.04,4175.2002,3760420000
2022-04-27,4186.52,4240.71,4162.8999,4183.96,3876340000
2022-04-28,4222.5801,4308.4502,4188.6299,4287.5,3969440000
2022-04-29,4253.75,4269.6802,4124.2798,4131.9302,3943480000
2022-05-02,4130.6099,4169.8101,4062.51,4155.3799,4474060000
2022-05-03,4159.7798,4200.1001,4147.0801,4175.48,3877530000
2022-05-04,4181.1802,4307.6602,4148.9102,4300.1699,4236210000
2022-05-05,4270.4302,4270.4302,4106.0098,4146.8701,4197620000
2022-05-06,4128.1699,4157.6899,4067.9099,4123.3398,4254300000
2022-05-09,4081.27,4081.27,3975.48,3991.24,4746120000
2022-05-10,4035.1799,4068.8201,3958.1699,4001.05,4630150000
2022-05-11,3990.0801,4049.0901,3928.8201,3935.1799,4683220000
2022-05-12,3903.95,3964.8,3858.8701,3930.0801,4964130000
2022-05-13,3963.8999,4038.8799,3963.8999,4023.8899,4142950000
2022-05-16,4013.02,4046.46,3983.99,4008.01,3824320000
2022-05-17,4052.0,4090.72,4033.9299,4088.8501,3846580000
2022-05-18,4051.98,4051.98,3911.9099,3923.6799,4428960000
2022-05-19,3899.0,3945.96,3876.5801,3900.79,4212140000
2022-05-20,3927.76,3943.4199,3810.3201,3901.3601,4278520000
